date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:37:23	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/Osep/Desktop/templatealloservivce/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
09:37:24	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/Osep/Desktop/templatealloservivce/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
09:37:24	4976/4976	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	https://demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.video.play.png	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.video.play.png	(from https://demo.htmlcodex.com/pro/startup/lib/owlcarousel/assets/owl.carousel.min.css)
09:37:24	8476/8476	---M--	200	added ('OK')	image/gif	date:Sun,%2026%20Nov%202017%2020:18:24%20GMT	https://demo.htmlcodex.com/pro/startup/lib/lightbox/images/loading.gif	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/lib/lightbox/images/loading.gif	(from https://demo.htmlcodex.com/pro/startup/lib/lightbox/css/lightbox.min.css)
09:37:25	152395/152395	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:43:12%20GMT	https://demo.htmlcodex.com/pro/startup/img/hero-header.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/hero-header.jpg	(from https://demo.htmlcodex.com/pro/startup/css/style.css)
09:37:26	60310/60310	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2023:51:50%20GMT	https://demo.htmlcodex.com/pro/startup/img/detail.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/detail.jpg	(from https://demo.htmlcodex.com/pro/startup/service-detail.html)
09:37:27	39210/39210	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:06%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-1.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/portfolio-1.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:37:27	35285/35285	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:36%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-2.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/portfolio-2.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:37:28	56241/56241	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:30%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-3.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/portfolio-3.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
09:37:29	40742/40742	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Aug%202021%2021:44:26%20GMT	https://demo.htmlcodex.com/pro/startup/img/portfolio-4.jpg	C:/Users/Osep/Desktop/templatealloservivce/demo.htmlcodex.com/pro/startup/img/portfolio-4.jpg	(from https://demo.htmlcodex.com/pro/startup/project.html)
